id,code,name,city_id
368,11680630,대치4동,1
369,11680640,역삼1동,1
370,11680650,역삼2동,1
371,11680655,도곡1동,1
372,11680656,도곡2동,1
373,11680660,개포1동,1
374,11680670,개포2동,1
375,11680675,개포3동,1
376,11680690,개포4동,1
377,11680700,세곡동,1
378,11680720,일원본동,1
379,11680730,일원1동,1
380,11680750,수서동,1
381,11710510,풍납1동,18
382,11710520,풍납2동,18
383,11710531,거여1동,18
384,11710532,거여2동,18
385,11710540,마천1동,18
386,11710550,마천2동,18
387,11710561,방이1동,18
388,11710562,방이2동,18
389,11710566,오륜동,18
390,11710570,오금동,18
391,11710580,송파1동,18
392,11710590,송파2동,18
393,11710600,석촌동,18
394,11710610,삼전동,18
395,11710620,가락본동,18
396,11710631,가락1동,18
397,11710632,가락2동,18
398,11710641,문정1동,18
399,11710642,문정2동,18
400,11710646,장지동,18
401,11710647,위례동,18
402,11710650,잠실본동,18
403,11710670,잠실2동,18
404,11710680,잠실3동,18
405,11710690,잠실4동,18
406,11710710,잠실6동,18
407,11710720,잠실7동,18
408,11740515,강일동,2
409,11740525,상일제1동,2
410,11740526,상일제2동,2
411,11740530,명일제1동,2
412,11740540,명일제2동,2
413,11740550,고덕제1동,2
414,11740560,고덕제2동,2
415,11740570,암사제1동,2
416,11740580,암사제2동,2
417,11740590,암사제3동,2
418,11740600,천호제1동,2
419,11740610,천호제2동,2
420,11740620,천호제3동,2
421,11740640,성내제1동,2
422,11740650,성내제2동,2
423,11740660,성내제3동,2
424,11740685,길동,2
425,11740690,둔촌제1동,2
426,11740700,둔촌제2동,2
427,26110510,중앙동,40
428,26110520,동광동,40
429,26110530,대청동,40
430,26110545,보수동,40
431,26110560,부평동,40
432,26110570,광복동,40
433,26110580,남포동,40
434,26110590,영주제1동,40
435,26110600,영주제2동,40
436,26140510,동대신제1동,36
437,26140520,동대신제2동,36
438,26140530,동대신제3동,36
439,26140540,서대신제1동,36
440,26140560,서대신제3동,36
441,26140570,서대신제4동,36
442,26140590,부민동,36
443,26140615,아미동,36
444,26140630,초장동,36
445,26140640,충무동,36
446,26140650,남부민제1동,36
447,26140660,남부민제2동,36
448,26140680,암남동,36
449,26170510,초량제1동,30
450,26170520,초량제2동,30
451,26170530,초량제3동,30
452,26170550,초량제6동,30
453,26170560,수정제1동,30
454,26170570,수정제2동,30
455,26170590,수정제4동,30
456,26170600,수정제5동,30
457,26170645,좌천동,30
458,26170650,범일제1동,30
459,26170660,범일제2동,30
460,26170680,범일제5동,30
461,26200530,남항동,39
462,26200540,영선제1동,39
463,26200550,영선제2동,39
464,26200585,신선동,39
465,26200590,봉래제1동,39
466,26200605,봉래제2동,39
467,26200630,청학제1동,39
468,26200640,청학제2동,39
469,26200650,동삼제1동,39
470,26200660,동삼제2동,39
471,26200670,동삼제3동,39
472,26230510,부전제1동,32
473,26230520,부전제2동,32
474,26230540,연지동,32
475,26230550,초읍동,32
476,26230560,양정제1동,32
477,26230570,양정제2동,32
478,26230600,전포제1동,32
479,26230610,전포제2동,32
480,26230640,부암제1동,32
481,26230660,부암제3동,32
482,26230670,당감제1동,32
483,26230680,당감제2동,32
484,26230700,당감제4동,32
485,26230710,가야제1동,32
486,26230720,가야제2동,32
487,26230740,개금제1동,32
488,26230750,개금제2동,32
489,26230760,개금제3동,32
490,26230770,범천제1동,32
491,26230780,범천제2동,32
492,26260510,수민동,31
493,26260520,복산동,31
494,26260545,명륜동,31
495,26260550,온천제1동,31
496,26260560,온천제2동,31
497,26260570,온천제3동,31
498,26260580,사직제1동,31
499,26260590,사직제2동,31
500,26260600,사직제3동,31
